stream,filename,size_bytes,closed_name
CH01,CH01_2026-07-03_10-00-02_to_11-00-01.mp4,3735294101,yes
CH01,CH01_2026-07-03_11-00-01_to_12-00-01.mp4,3921988605,yes
CH01,CH01_2026-07-03_12-00-01_to_13-00-01.mp4,4226456968,yes
CH01,CH01_2026-07-03_13-00-01_to_14-16-43.mp4,3818213215,yes
CH01,CH01_2026-07-03_14-16-43_to_14-35-10.mp4,15759518,yes
CH01,CH01_2026-07-03_14-35-10_to_15-00-05.mp4,1634541477,yes
CH01,CH01_2026-07-03_15-00-05_to_16-00-01.mp4,3931961146,yes
CH01,CH01_2026-07-03_16-00-01_to_17-00-01.mp4,3744471902,yes
CH01,CH01_2026-07-03_17-00-01_to_18-00-04.mp4,3595887287,yes
CH01,CH01_2026-07-03_18-00-04_to_19-00-00.mp4,3720806136,yes
CH01,CH01_2026-07-03_19-00-00_to_20-00-01.mp4,3846562113,yes
CH01,CH01_2026-07-03_20-00-01_to_21-00-01.mp4,3624646614,yes
CH01,CH01_2026-07-03_21-00-01_to_22-00-00.mp4,4497996165,yes
CH01,CH01_2026-07-03_22-00-00_to_23-00-00.mp4,4374309139,yes
CH01,CH01_2026-07-03_23-00-00_to_00-00-01.mp4,4386833701,yes
CH01,CH01_2026-07-04_00-00-01_to_01-00-00.mp4,4455534485,yes
CH01,CH01_2026-07-04_01-00-00_to_02-00-00.mp4,4511660294,yes
CH01,CH01_2026-07-04_02-00-00_to_03-00-01.mp4,4533187208,yes
CH01,CH01_2026-07-04_03-00-01_to_04-00-01.mp4,4535449501,yes
CH01,CH01_2026-07-04_04-00-01_to_05-00-01.mp4,4591046256,yes
CH01,CH01_2026-07-04_05-00-01_to_06-00-00.mp4,4180278016,yes
CH01,CH01_2026-07-04_06-00-00_to_07-00-01.mp4,3745058668,yes
CH01,CH01_2026-07-04_07-00-01_to_08-00-01.mp4,3666501943,yes
CH01,CH01_2026-07-04_08-00-01_to_09-00-01.mp4,3520597575,yes
CH01,CH01_2026-07-04_09-00-01_to_10-00-00.mp4,3883973098,yes
CH01,CH01_2026-07-04_10-00-00_to_11-00-01.mp4,4480260729,yes
CH01,CH01_2026-07-04_11-00-01_to_12-00-01.mp4,4375616318,yes
CH01,CH01_2026-07-04_12-00-01_to_13-00-01.mp4,4041068370,yes
CH01,CH01_2026-07-04_13-00-01_to_14-00-02.mp4,3923529070,yes
CH01,CH01_2026-07-04_14-00-02_to_15-00-00.mp4,3572384024,yes
