cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run
CH01,15:23:46.5,152346.npz,F43,15:23:24,15:23:50,0,84,1,0,CH01-w37-r1
CH01,15:23:48.5,152348.npz,F43,15:23:24,15:23:50,0,79,1,0,CH01-w37-r1
CH01,15:23:50.5,152350.npz,F43,15:23:24,15:23:50,1,83,1,0,CH01-w37-r1
CH01,15:23:52.5,152352.npz,,,,0,32,1,0,
CH01,15:25:29.4,152529.npz,,,,0,87,1,0,
CH01,15:25:31.5,152531.npz,,,,0,84,1,0,
CH01,15:25:33.4,152533.npz,,,,0,88,1,0,
CH01,15:25:35.4,152535.npz,,,,0,88,1,0,
CH01,15:25:37.4,152537.npz,T53,15:25:37,15:25:47,0,87,1,0,CH01-w41-r1
CH01,15:25:39.4,152539.npz,T53,15:25:37,15:25:47,0,84,1,0,CH01-w41-r1
CH01,15:25:41.4,152541.npz,T53,15:25:37,15:25:47,0,88,1,0,CH01-w41-r1
CH01,15:25:43.5,152543.npz,T53,15:25:37,15:25:47,0,87,1,0,CH01-w41-r1
CH01,15:25:45.4,152545.npz,T53,15:25:37,15:25:47,0,88,1,0,CH01-w41-r1
CH01,15:25:47.5,152547.npz,T53,15:25:37,15:25:47,1,87,1,0,CH01-w41-r1
CH01,15:25:49.4,152549.npz,,,,0,64,1,0,
CH01,15:25:53.4,152553.npz,,,,0,21,1,0,
CH01,15:25:55.5,152555.npz,,,,0,59,1,0,
CH01,15:25:57.4,152557.npz,,,,0,59,1,0,
CH01,15:25:59.4,152559.npz,T54,15:25:59,15:26:13,0,66,1,0,CH01-w42-r1
CH01,15:26:01.4,152601.npz,T54,15:25:59,15:26:13,0,56,1,0,CH01-w42-r1
CH01,15:26:03.5,152603.npz,T54,15:25:59,15:26:13,0,71,1,0,CH01-w42-r1
CH01,15:26:05.5,152605.npz,T54,15:25:59,15:26:13,0,69,1,0,CH01-w42-r1
CH01,15:26:07.4,152607.npz,T54,15:25:59,15:26:13,0,67,1,0,CH01-w42-r1
CH01,15:26:09.4,152609.npz,T54,15:25:59,15:26:13,0,70,1,0,CH01-w42-r1
