CH04 F23 15:12:45-15:13:11 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 26s
CH04 F23 15:12:45-15:13:11 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 27s
CH04 F32 15:17:41-15:18:05 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 25s
CH04 F32 15:17:41-15:18:05 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 26s
CH04 F34 15:18:50-15:19:04 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH04 F34 15:18:50-15:19:04 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 15s
CH04 F41 15:22:34-15:22:58 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 19s
CH04 F43 15:23:24-15:23:50 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 24s
CH04 F52 15:27:24-15:27:44 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 17s
CH04 F54 15:28:14-15:28:24 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 10s
CH04 T11 15:01:03-15:01:51 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=full frame 44s
CH04 T11 15:01:03-15:01:51 had 0, tried 13 frames, saved 0 (best 0 corners) {} prior=full frame 45s
CH04 T12 15:01:59-15:02:10 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 11s
CH04 T13 15:02:19-15:02:37 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 18s
CH04 T14 15:02:48-15:03:17 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 28s
CH04 T15 15:03:25-15:03:57 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH04 T15 15:03:25-15:03:57 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 32s
CH04 T21 15:06:42-15:07:08 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 24s
CH04 T22 15:07:14-15:08:53 had 0, tried 25 frames, saved 0 (best 0 corners) {} prior=full frame 80s
CH04 T22 15:07:14-15:08:53 had 0, tried 25 frames, saved 0 (best 0 corners) {} prior=full frame 82s
CH04 T23 15:09:05-15:09:17 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 11s
CH04 T24 15:09:25-15:09:47 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 21s
CH04 T24 15:09:25-15:09:47 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 22s
CH04 T25 15:09:57-15:10:33 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 30s
CH04 T25 15:09:57-15:10:33 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 32s
CH04 T31 15:13:54-15:14:31 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 35s
CH04 T31 15:13:54-15:14:31 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 36s
CH04 T32 15:14:37-15:15:03 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 24s
CH04 T33 15:15:11-15:15:45 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH04 T34 15:15:57-15:16:26 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 24s
CH04 T35 15:16:32-15:17:01 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 28s
CH04 T41 15:19:22-15:19:26 had 0, tried 1 frames, saved 0 (best 0 corners) {} prior=full frame 4s
CH04 T41 15:19:38-15:20:26 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=full frame 41s
CH04 T41 15:22:36-15:22:56 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 16s
CH04 T42 15:20:32-15:20:48 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH04 T43 15:20:58-15:21:12 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH04 T44 15:21:35-15:21:44 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 11s
CH04 T45 15:21:54-15:22:20 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 24s
CH04 T51 15:24:31-15:25:03 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 27s
CH04 T52 15:25:09-15:25:25 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 17s
CH04 T53 15:25:37-15:25:47 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 11s
CH04 T54 15:25:59-15:26:13 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH04 T55 15:26:21-15:26:46 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 22s
CH04 V11 15:04:07-15:04:31 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 24s
CH04 V11 15:04:07-15:04:31 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 25s
CH04 V13 15:05:23-15:05:58 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH04 V22 15:12:01-15:12:37 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH04 V22 15:12:01-15:12:37 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 33s
CH04 V24 15:13:17-15:13:46 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 25s
CH04 V31 15:17:13-15:17:35 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 21s
CH04 V31 15:17:13-15:17:35 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 22s
CH04 V33 15:18:12-15:18:30 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 19s
CH04 V33 15:18:12-15:18:30 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 20s
CH04 V42 15:23:08-15:23:16 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 7s
CH04 V44 15:24:01-15:24:19 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 17s
CH04 V51 15:27:02-15:27:16 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH04 V53 15:27:50-15:28:02 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 9s
CH06 F12 15:04:38-15:05:17 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 48s
CH06 F14 15:06:08-15:06:34 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 36s
CH06 F21 15:10:43-15:11:57 had 0, tried 19 frames, saved 0 (best 0 corners) {} prior=full frame 93s
CH06 F23 15:12:45-15:13:11 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 37s
CH06 F32 15:17:41-15:18:05 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 29s
CH06 F34 15:18:50-15:19:04 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 21s
CH06 F61 15:28:34-15:28:50 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 20s
CH06 F63 15:29:22-15:29:30 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 10s
CH06 T11 15:01:03-15:01:51 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=full frame 60s
CH06 T12 15:01:59-15:02:10 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 15s
CH06 T13 15:02:19-15:02:37 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 26s
CH06 T14 15:02:48-15:03:17 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 40s
CH06 T15 15:03:25-15:03:57 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 42s
CH06 T21 15:06:42-15:07:08 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 34s
CH06 T22 15:07:14-15:08:53 had 0, tried 25 frames, saved 0 (best 0 corners) {} prior=full frame 120s
CH06 T23 15:09:05-15:09:17 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 17s
CH06 T24 15:09:25-15:09:47 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 32s
CH06 T25 15:09:57-15:10:33 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 44s
CH06 T31 15:13:54-15:14:31 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 53s
CH06 T32 15:14:37-15:15:03 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 36s
CH06 T33 15:15:11-15:15:45 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 44s
CH06 T34 15:15:57-15:16:26 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 35s
CH06 T35 15:16:32-15:17:01 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 42s
CH06 T41 15:19:22-15:19:26 had 0, tried 1 frames, saved 0 (best 0 corners) {} prior=full frame 5s
CH06 T41 15:19:38-15:20:26 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=full frame 58s
CH06 T42 15:20:32-15:20:48 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 19s
CH06 T43 15:20:58-15:21:12 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 20s
CH06 T44 15:21:35-15:21:44 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 9s
CH06 T45 15:21:54-15:22:20 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 35s
CH06 T51 15:24:31-15:25:03 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 37s
CH06 T55 15:26:21-15:26:46 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 28s
CH06 T71 15:30:34-15:30:42 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 10s
CH06 T72 15:30:52-15:31:00 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 10s
CH06 T73 15:31:12-15:31:26 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 20s
CH06 T74 15:31:32-15:31:46 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 21s
CH06 T75 15:31:52-15:32:08 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 21s
CH06 V11 15:04:07-15:04:31 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH06 V13 15:05:23-15:05:58 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 45s
CH06 V22 15:12:01-15:12:37 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 47s
CH06 V24 15:13:17-15:13:46 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 42s
CH06 V31 15:17:13-15:17:35 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 30s
CH06 V33 15:18:12-15:18:30 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 25s
CH06 V44 15:24:01-15:24:19 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 23s
CH06 V62 15:28:56-15:29:16 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 26s
CH06 V64 15:29:38-15:30:18 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 50s
